CUSTOMERID,CardAccountNumber,CardNumber,isActive
A-1113330,PJCF5346,2366-7044-2391-4531,1
A-1113330,PJCF5346,2366-4974-6387-8151,0
A-1116254,NWVM7181,2366-7011-822-8799,1
A-1122071,QNZN5632,2366-8166-2287-2142,1
A-1126148,AHVD8350,2366-8307-7917-3692,1
A-1127299,OFXN8991,2366-7019-1636-3891,1
A-1147107,CKTP1632,2366-2868-5945-6582,1
A-1147734,URWW5211,2366-1173-324-8452,1
A-1151477,MKIF1994,2366-9307-7525-9025,1
A-1155621,OYWR1782,2366-5342-5554-1124,1
A-1158316,DDSB2328,2366-9251-5805-4980,1
A-1166025,DMDV1731,2366-8433-4465-4400,1
A-1190130,CMOH8849,2366-8566-1377-3179,1
A-1190666,FSDY6564,2366-8682-6421-4192,1
A-1195517,IZZW9177,2366-7158-1393-1657,1
A-1198420,NEXV7964,2366-75-6446-5310,1
A-1218974,UWTO1189,2366-2006-2477-2410,1
A-1219331,ONKA3537,2366-5846-1010-6986,1
A-1223167,XGSZ1784,2366-9530-5952-8581,1
A-1233664,JVTQ4167,2366-8976-1702-1903,1
A-1235189,VLGX2985,2366-4465-926-6257,1
A-1235802,LPOS7450,2366-3395-4853-4019,1
A-1239763,AVPB9077,2366-5802-5269-6001,1
A-1240865,TVCZ7244,2366-9177-4701-7489,1
A-1242206,HZYO9018,2366-8551-2078-5067,1
A-1245222,JKGF7161,2366-3441-9104-2956,1
A-1253526,FJOB7894,2366-3056-2245-3290,1
A-1254878,DDXJ1161,2366-7811-5994-4206,1
A-1262769,WQPO6316,2366-2909-7029-1009,1
A-1270002,YOVP8013,2366-4409-7201-5384,1
A-1278480,TONC3359,2366-2254-7877-2013,1
A-1279850,FAYL4457,2366-824-952-1803,1
A-1283240,VFHI8786,2366-3182-1700-786,1
A-1285647,EMEL6678,2366-7142-9822-4921,1
A-1291424,STDY6585,2366-1265-950-2705,1
A-1292898,ZCSU7714,2366-6936-9613-4899,1
