BANKID,CUSTOMERID,PRODUCT,isActive,Gender,DOB,PINCODE,isFirst,Phone,OnboardingDate,DeactivationDate
A9998136750,A-2478456,A,1,M,1971-09-27,655549,1,9998136750,2006-12-13,
A9990139319,A-9283052,A,1,M,1986-01-24,963730,1,9990139319,1999-06-27,
A9990114673,A-9076484,A,1,F,1965-03-11,354154,1,9990114673,2015-01-10,
A9988632535,A-5062682,A,1,M,1962-07-07,713577,1,9988632535,2008-04-08,
A9979723152,A-2330366,A,1,M,1989-02-03,489207,1,9979723152,1994-05-23,
A9978821984,A-7706832,A,1,M,1968-11-29,199111,1,9978821984,1995-05-09,
A9974286643,A-4288896,A,1,M,1954-03-09,307220,1,9974286643,2007-11-06,
A9970080070,A-6610882,A,1,M,1997-06-16,826869,1,9970080070,2008-09-22,
K9957164481,A-7759201,A,1,F,1954-06-09,251203,0,9957164481,2018-10-05,
A9952990401,A-3553626,A,1,M,1959-11-19,452827,1,9952990401,1997-05-15,
A9951182522,A-2511531,A,1,M,1953-12-08,421373,1,9951182522,1980-06-28,
A9946947645,A-4718532,A,1,F,1957-05-23,911196,1,9946947645,2020-08-17,
A9946022952,A-4628213,A,1,M,1960-01-17,220195,1,9946022952,2018-10-17,
A9944251835,A-4243712,A,1,M,2020-06-30,285514,1,9944251835,2022-03-05,
A9939860779,A-5595264,A,1,M,2010-06-17,533348,1,9939860779,2012-11-16,
A9937062943,A-9926652,A,1,F,1989-09-15,433863,1,9937062943,1990-11-17,
A9933407123,A-3685437,A,1,M,1970-11-26,313249,1,9933407123,2021-03-15,
A9930239337,A-4630932,A,1,F,1988-10-05,606881,1,9930239337,1996-01-27,
E9921860625,A-8730425,A,0,F,1977-07-24,728519,0,9921860625,1995-01-25,1995-06-14
A9921145720,A-9627252,A,1,M,2018-09-23,608352,1,9921145720,2020-12-28,
A9918154469,A-9327931,A,1,M,2010-04-30,356713,1,9918154469,2011-03-31,
A9912555417,A-2104800,A,1,M,1968-02-15,496197,1,9912555417,2017-11-24,
A9907405412,A-9299697,A,1,M,1953-01-23,512995,1,9907405412,1993-01-11,
A9904319695,A-6098259,A,1,M,2002-06-20,337446,1,9904319695,2005-09-23,
A9904075778,A-4843182,A,0,M,2019-06-18,254127,1,9904075778,2024-06-27,2023-04-13
A9898921017,A-6441717,A,1,F,1969-12-28,292578,1,9898921017,1981-06-28,
A9891707018,A-2313592,A,1,M,1976-03-21,440473,1,9891707018,1993-05-22,
A9883969648,A-5211974,A,1,M,1972-04-16,930294,1,9883969648,2016-01-09,
A9883821840,A-4192767,A,1,M,1976-02-24,230052,1,9883821840,1983-07-19,
A9876874585,A-9792058,A,1,M,2019-12-23,338421,1,9876874585,2025-03-07,
A9873557956,A-6888018,A,1,M,1994-05-12,350536,1,9873557956,2006-05-24,
A9866855116,A-9576315,A,1,F,1988-01-07,919464,1,9866855116,2006-07-11,
A9866201422,A-2693196,A,1,F,2004-04-07,191610,1,9866201422,2008-04-04,
B9862497395,A-9206600,A,0,M,1976-07-20,394899,0,9862497395,1990-09-26,1992-05-03
A9858068630,A-4747521,A,1,F,1957-09-06,999203,1,9858068630,1998-09-26,
A9853506634,A-2442833,A,1,M,1976-03-26,284570,1,9853506634,1995-01-16,
O9848884117,A-3451490,A,1,M,1900-01-01,560068,0,9848884117,1985-05-28,
A9846143506,A-9541019,A,1,F,1987-10-16,222907,1,9846143506,2015-10-19,
A9843122091,A-2211530,A,1,F,2000-12-26,728572,1,9843122091,2003-03-27,
A9841763952,A-7960916,A,1,M,1965-11-29,353348,1,9841763952,2017-03-19,
A9839262362,A-6227169,A,0,F,2018-11-09,873394,1,9839262362,2023-10-16,2023-04-13
A9836032608,A-7001940,A,1,M,1964-10-14,672731,1,9836032608,2012-05-22,
A9834300942,A-6804631,A,1,M,1981-05-08,609882,1,9834300942,1996-10-19,
A9827625064,A-8194039,A,1,M,2007-08-10,296359,1,9827625064,2009-09-01,
A9817592597,A-8236136,A,0,F,1956-06-16,169147,1,9817592597,2015-11-30,2018-05-13
A9814862024,A-8708891,A,1,F,2010-03-08,304992,1,9814862024,2014-11-18,
A9813411793,A-1446705,A,1,M,2014-05-20,561079,1,9813411793,2015-07-19,
A9809763243,A-3488732,A,1,F,1963-11-17,269843,1,9809763243,2013-03-11,
A9806367656,A-5288605,A,1,F,2018-02-27,715725,1,9806367656,2022-04-28,
F9806124694,A-8081861,A,1,F,2004-06-02,274003,0,9806124694,2006-01-06,
K9804333811,A-2843221,A,1,M,2001-03-15,205925,0,9804333811,2003-09-18,
A9800272609,A-2646604,A,1,M,1964-04-10,248794,1,9800272609,2002-04-04,
A9797453152,A-7974152,A,1,M,2023-01-02,680964,1,9797453152,2025-11-16,
A9796938277,A-2231115,A,1,M,1966-07-22,274270,1,9796938277,2001-01-27,
A9796430455,A-6763717,A,1,F,1991-08-24,829552,1,9796430455,2001-10-19,
A9792050348,A-7742636,A,1,M,1997-05-12,395990,1,9792050348,2008-04-13,
A9788767986,A-9657061,A,0,F,1956-01-14,623591,1,9788767986,1985-04-19,1987-04-25
A9788365680,A-5532570,A,1,F,1981-10-05,374553,1,9788365680,2021-10-16,
A9786193297,A-3623401,A,1,F,1977-03-29,474609,1,9786193297,2018-05-08,
A9782624896,A-1983136,A,1,M,1963-05-27,859134,1,9782624896,1993-09-03,
A9775305570,A-5713814,A,1,F,2022-09-30,810832,1,9775305570,2027-03-20,
A9771405342,A-8771390,A,1,M,2018-09-30,371600,1,9771405342,2022-09-23,
A9771241787,A-4786364,A,1,M,2004-02-11,553164,1,9771241787,2009-01-03,
A9769906516,A-2467182,A,1,F,2020-03-18,226430,1,9769906516,2024-06-13,
A9769561848,A-5797165,A,1,F,1970-08-31,952117,1,9769561848,1993-04-21,
A9769002949,A-8255618,A,1,F,1981-02-01,354679,1,9769002949,1985-10-08,
A9766523132,A-5451647,A,1,F,2022-09-15,975900,1,9766523132,2024-03-27,
A9766158190,A-4343495,A,1,M,2008-07-23,155921,1,9766158190,2010-12-16,
A9764313173,A-5578154,A,1,M,2018-04-09,282146,1,9764313173,2023-07-08,
A9762355308,A-2159926,A,1,F,2014-09-06,590016,1,9762355308,2018-11-19,
A9761609495,A-9748772,A,1,F,1993-07-10,633380,1,9761609495,1998-08-27,
A9761105683,A-2372363,A,1,F,1969-09-03,539099,1,9761105683,1986-05-07,
A9760148297,A-2529910,A,1,F,1952-02-10,440338,1,9760148297,1997-08-23,
A9758241509,A-5522003,A,1,F,1996-08-21,860136,1,9758241509,2016-08-06,
A9746630310,A-6697391,A,1,M,1978-01-11,336751,1,9746630310,1984-01-21,
A9746227292,A-3209911,A,1,F,1992-01-26,966001,1,9746227292,1992-02-21,
