CUSTOMERID,SANumber,isActive,AMB
I-3653982,OLSAL3935,1,6892
I-4727807,BRSAL6161,1,51760
I-3205335,BRSAL9731,1,49338
I-9454116,OLSAL6377,1,8363
I-7811149,BRSAL1804,1,18625
I-2519484,OLSAL9490,1,2765
I-9704281,OLSAL8824,1,2501
I-7292176,OLSAL5402,0,3925
I-9061979,BRSAL4198,1,84928
I-8277044,BRSAL2694,1,47131
I-2147440,BRSAL5843,1,34637
I-1456779,BRSAL2809,1,31063
I-8874852,BRSAL8086,1,57310
I-8083994,OLSAL7849,0,6232
I-3525196,OLSAL4694,1,9379
I-1358002,BRSAL6399,1,82301
I-5624911,BRSAL6704,1,88163
I-2494517,BRSAL4285,1,22606
I-7141753,OLSAL9075,1,7160
I-7721397,BRSAL2329,1,15387
I-4968782,BRSAL4745,1,58272
I-8275914,BRSAL5690,1,98406
I-2939847,OLSAL3072,0,1797
I-6966729,OLSAL9278,1,7798
I-1306304,OLSAL3516,1,9360
I-5004900,OLSAL6394,1,709
I-7844356,BRSAL9501,1,15608
I-8961305,BRSAL1501,1,34707
I-5008223,OLSAL9545,1,5468
I-4326970,BRSAL7695,1,34214
I-1513604,OLSAL2354,1,4007
I-1854184,BRSAL4834,1,55869
I-5632250,OLSAL4867,1,1098
I-9118039,BRSAL8118,1,59573
I-9313276,OLSAL1751,1,9469
I-9441330,OLSAL3313,1,1669
I-5162071,OLSAL2646,1,8583
I-4773014,BRSAL9444,1,11864
I-8314452,OLSAL3298,1,9367
I-5372424,BRSAL6409,1,55290
I-9742079,BRSAL1925,1,76310
I-7892018,OLSAL8874,1,4605
I-7902777,BRSAL8635,1,21164
I-2917457,BRSAL3509,1,46724
I-4265031,BRSAL3771,1,82937
I-6085528,BRSAL3616,1,46959
I-2904873,BRSAL3713,1,92493
I-6978765,OLSAL6531,1,3451
I-3033928,OLSAL3159,1,770
I-4962551,BRSAL7896,1,95098
I-8831908,BRSAL7651,1,84129
I-3767249,OLSAL4955,1,1920
I-2736247,BRSAL6368,1,15459
I-7608581,BRSAL2022,1,68558
I-7707829,BRSAL4231,1,70984
I-4626066,OLSAL9344,1,8048
I-8787699,BRSAL9307,1,59408
I-3166043,OLSAL3041,1,9022
I-8164796,OLSAL8133,1,245
I-7655900,OLSAL2885,1,3257
I-2815547,BRSAL1516,1,42322
I-5047110,BRSAL2936,1,79215
I-9275796,BRSAL6951,1,69679
I-3403255,BRSAL3056,1,13585
